LOCATION,State,City
AK Anchorage CBP,AK,Anchorage
AK Anchorage Express CBP Fed Ex,AK,Anchorage
AK Anchorage Express CBP UPS,AK,Anchorage
AZ Douglas CBP,AZ,Douglas
AZ Naco CBP,AZ,Naco
AZ Nogales CBP,AZ,Nogales
AZ Phoenix CBP,AZ,Phoenix
AZ San Luis CBP,AZ,San Luis
CA Calexico CBP East,CA,Calexico
CA Long Beach CBP,CA,Long Beach
CA Los Angeles CBP,CA,Los Angeles
CA Los Angeles Sea CBP,CA,Los Angeles
CA Oakland CBP,CA,Oakland
CA Oakland Fed Ex CBP,CA,Oakland
CA Ontario CBP,CA,Ontario
CA Otay Mesa CBP,CA,Otay Mesa
CA Port Hueneme CBP,CA,Port Hueneme
CA San Diego CBP,CA,San Diego
CA San Francisco CBP,CA,San Francisco
CA San Jose CBP,CA,San Jose
DE Wilmington CBP,DE,Wilmington
FL Cape Canaveral CBP,FL,Cape Canaveral
FL Ft. Lauderdale CBP,FL,Ft. Lauderdale
FL Jacksonville CBP,FL,Jacksonville
FL Miami Air Cargo CBP,FL,Miami
FL Miami Air CBP,FL,Miami
FL Miami Sea CBP,FL,Miami
FL Miami UPS  CBP,FL,Miami
FL Orlando CBP,FL,Orlando
FL Port Everglades CBP,FL,Port Everglades
FL Port Manatee CBP,FL,Port Manatee
FL Tampa CBP,FL,Tampa
FL West Palm Beach CBP,FL,West Palm Beach
GA Atlanta CBP,GA,Atlanta
HI Honolulu CBP,HI,Honolulu
HI Honolulu Sea CBP,HI,Honolulu
ID Eastport CBP,ID,Eastport
IL Chicago CBP,IL,Chicago
IN Indianapolis Fed Ex CBP,IN,Indianapolis
KY Louisville CBP,KY,Louisville
KY Louisville UPS CBP,KY,Louisville
LA New Orleans Gulf CMC CBP,LA,New Orleans
MA Boston CBP,MA,Boston
MA Boston Sea CBP,MA,Boston
ME Calais CBP,ME,Calais
ME Houlton CBP,ME,Houlton
ME Van Buren CBP,ME,Van Buren
MI Detroit CBP,MI,Detroit
MI Port Huron CBP,MI,Port Huron
MI Romulus CBP,MI,Romulus
MI Sault Sainte Marie CBP,MI,Sault Sainte Marie
MN International Falls CBP,MN,International Falls
MN Minneapolis CBP,MN,Minneapolis
MT Roosville CBP,MT,Roosville
MT Sweetgrass CBP,MT,Sweetgrass
NC Charlotte CBP,NC,Charlotte
NC Raleigh CBP,NC,Raleigh
ND Dunseith CBP,ND,Dunseith
ND Pembina CBP,ND,Pembina
ND Portal CBP,ND,Portal
NJ Newark Air Cargo CBP,NJ,Newark
NJ Newark CBP,NJ,Newark
NJ Newark Fed Ex CBP,NJ,Newark
NJ Newark Sea CBP,NJ,Newark
NM Santa Teresa CBP,NM,Santa Teresa
NV Las Vegas CBP,NV,Las Vegas
NY Alexandria Bay CBP,NY,Alexandria Bay
NY Brooklyn CBP,NY,Brooklyn
NY Buffalo CBP,NY,Buffalo
NY Buffalo CBP Lewiston Bridge,NY,Buffalo
NY Buffalo CBP Peace Bridge,NY,Buffalo
NY Champlain CBP,NY,Champlain
NY JFK Air Cargo CBP,NY,New York
NY JFK CBP,NY,New York
OH Cincinnati CBP,OH,Cincinnati
OH Cincinnati DHL CBP,OH,Cincinnati
OR Portland CBP,OR,Portland
OR Portland Sea CBP,OR,Portland
PA Philadelphia CBP,PA,Philadelphia
PA Philadelphia Sea CBP,PA,Philadelphia
PR Aguadilla CBP,PR,Aguadilla
PR San Juan Air CBP,PR,San Juan
PR San Juan Sea CBP,PR,San Juan
SC Charleston CBP,SC,Charleston
TN Memphis Fed-X CBP,TN,Memphis
TX Brownsville CBP,TX,Brownsville
TX Dallas/Ft. Worth CBP,TX,Dallas
TX Del Rio CBP,TX,Del Rio
TX Eagle Pass CBP,TX,Eagle Pass
TX El Paso CBP,TX,El Paso
TX El Paso CBP BOTA,TX,El Paso
TX Hidalgo CBP,TX,Hidalgo
TX Houston Air CBP,TX,Houston
TX Houston PIS PPQ,TX,Houston
TX Houston Sea CBP,TX,Houston
TX Laredo CBP,TX,Laredo
TX Laredo CBP Colombia,TX,Laredo
TX Los Indios CBP,TX,Los Indios
TX Pharr CBP,TX,Pharr
TX Presidio CBP,TX,Presidio
TX Progreso CBP,TX,Progreso
TX Rio Grande City CBP,TX,Rio Grande
TX Roma CBP,TX,Roma
VA Dulles CBP,VA,Dulles
VA Norfolk CBP,VA,Norfolk
VI St. Croix CBP,VI,St. Croix
VI St. Thomas CBP,VI,St. Thomas
VT Derby Line CBP,VT,Derby Line
VT Highgate Springs CBP,VT,Highgate Springs
WA Blaine CBP,WA,Blaine
WA Blaine CBP Pacific Highway,WA,Blaine
WA Lynden CBP,WA,Lynden
WA Port Angeles CBP,WA,Port Angeles
WA Seattle Air CBP,WA,Seattle
WA Seattle Sea CBP,WA,Seattle
WA Seattle Sea CBP Tacoma,WA,Seattle
WA Spokane CBP,WA,Spokane
WA Sumas CBP,WA,Sumas
WI Milwaukee CBP,WI,Milwaukee
