"","LOCATION","geocode","State","City","latitude_poe","longitude_poe"
"1","AK Anchorage CBP","Anchorage, AK","AK","Anchorage",61.2180556,-149.9002778
"2","AK Anchorage Express CBP Fed Ex","Anchorage, AK","AK","Anchorage",61.2180556,-149.9002778
"3","AK Anchorage Express CBP UPS","Anchorage, AK","AK","Anchorage",61.2180556,-149.9002778
"4","AZ Douglas CBP","Douglas, AZ","AZ","Douglas",31.3445471,-109.5453447
"5","AZ Naco CBP","Naco, AZ","AZ","Naco",31.3353801,-109.9481297
"6","AZ Nogales CBP","Nogales, AZ","AZ","Nogales",31.3403775,-110.9342532
"7","AZ Phoenix CBP","Phoenix, AZ","AZ","Phoenix",33.4483771,-112.0740373
"8","AZ San Luis CBP","San Luis, AZ","AZ","San Luis",32.4869996,-114.7821796
"9","CA Calexico CBP East","Calexico, CA","CA","Calexico",32.6789476,-115.4988834
"10","CA Long Beach CBP","Long Beach, CA","CA","Long Beach",33.7700504,-118.1937395
"11","CA Los Angeles CBP","Los Angeles, CA","CA","Los Angeles",34.0522342,-118.2436849
"12","CA Los Angeles Sea CBP","Los Angeles, CA","CA","Los Angeles",34.0522342,-118.2436849
"13","CA Oakland CBP","Oakland, CA","CA","Oakland",37.8043637,-122.2711137
"14","CA Oakland Fed Ex CBP","Oakland, CA","CA","Oakland",37.8043637,-122.2711137
"15","CA Ontario CBP","Ontario, CA","CA","Ontario",34.0633443,-117.6508876
"16","CA Otay Mesa CBP","Otay Mesa, CA","CA","Otay Mesa",32.5594732,-116.9734685
"17","CA Port Hueneme CBP","Port Hueneme, CA","CA","Port Hueneme",34.1477829,-119.1951074
"18","CA San Diego CBP","San Diego, CA","CA","San Diego",32.715738,-117.1610838
"19","CA San Francisco CBP","San Francisco, CA","CA","San Francisco",37.7749295,-122.4194155
"20","CA San Jose CBP","San Jose, CA","CA","San Jose",37.3382082,-121.8863286
"21","DE Wilmington CBP","Wilmington, DE","DE","Wilmington",39.744655,-75.5483909
"22","FL Cape Canaveral CBP","Cape Canaveral, FL","FL","Cape Canaveral",28.3922182,-80.6077132
"23","FL Ft. Lauderdale CBP","Ft. Lauderdale, FL","FL","Ft. Lauderdale",26.1224386,-80.1373174
"24","FL Jacksonville CBP","Jacksonville, FL","FL","Jacksonville",30.3321838,-81.655651
"25","FL Miami Air Cargo CBP","Miami, FL","FL","Miami",25.7616798,-80.1917902
"26","FL Miami Air CBP","Miami, FL","FL","Miami",25.7616798,-80.1917902
"27","FL Miami Sea CBP","Miami, FL","FL","Miami",25.7616798,-80.1917902
"28","FL Miami UPS  CBP","Miami, FL","FL","Miami",25.7616798,-80.1917902
"29","FL Orlando CBP","Orlando, FL","FL","Orlando",28.5383355,-81.3792365
"30","FL Port Everglades CBP","Port Everglades, FL","FL","Port Everglades",26.0850697,-80.116658
"31","FL Port Manatee CBP","Port Manatee, FL","FL","Port Manatee",27.6336443,-82.5614858
"32","FL Tampa CBP","Tampa, FL","FL","Tampa",27.950575,-82.4571776
"33","FL West Palm Beach CBP","West Palm Beach, FL","FL","West Palm Beach",26.7153424,-80.0533746
"34","GA Atlanta CBP","Atlanta, GA","GA","Atlanta",33.7489954,-84.3879824
"35","HI Honolulu CBP","Honolulu, HI","HI","Honolulu",21.3069444,-157.8583333
"36","HI Honolulu Sea CBP","Honolulu, HI","HI","Honolulu",21.3069444,-157.8583333
"37","ID Eastport CBP","Eastport, ID","ID","Eastport",48.9993981,-116.1813115
"38","IL Chicago CBP","Chicago, IL","IL","Chicago",41.8781136,-87.6297982
"39","IN Indianapolis Fed Ex CBP","Indianapolis, IN","IN","Indianapolis",39.768403,-86.158068
"40","KY Louisville CBP","Louisville, KY","KY","Louisville",38.2526647,-85.7584557
"41","KY Louisville UPS CBP","Louisville, KY","KY","Louisville",38.2526647,-85.7584557
"42","LA New Orleans Gulf CMC CBP","New Orleans, LA","LA","New Orleans",29.9510658,-90.0715323
"43","MA Boston CBP","Boston, MA","MA","Boston",42.3600825,-71.0588801
"44","MA Boston Sea CBP","Boston, MA","MA","Boston",42.3600825,-71.0588801
"45","ME Calais CBP","Calais, ME","ME","Calais",45.1889633,-67.2786038
"46","ME Houlton CBP","Houlton, ME","ME","Houlton",46.1261806,-67.8402316
"47","ME Van Buren CBP","Van Buren, ME","ME","Van Buren",47.1572963,-67.9353035
"48","MI Detroit CBP","Detroit, MI","MI","Detroit",42.331427,-83.0457538
"49","MI Port Huron CBP","Port Huron, MI","MI","Port Huron",42.9708634,-82.4249142
"50","MI Romulus CBP","Romulus, MI","MI","Romulus",42.2222614,-83.3965994
"51","MI Sault Sainte Marie CBP","Sault Sainte Marie, MI","MI","Sault Sainte Marie",46.4977115,-84.3475876
"52","MN International Falls CBP","International Falls, MN","MN","International Falls",NA,NA
"53","MN Minneapolis CBP","Minneapolis, MN","MN","Minneapolis",44.977753,-93.2650108
"54","MT Roosville CBP","Roosville, MT","MT","Roosville",48.8799647,-115.0535001
"55","MT Sweetgrass CBP","Sweetgrass, MT","MT","Sweetgrass",48.9961099,-111.9675751
"56","NC Charlotte CBP","Charlotte, NC","NC","Charlotte",35.2270869,-80.8431267
"57","NC Raleigh CBP","Raleigh, NC","NC","Raleigh",35.7795897,-78.6381787
