"","ORIGIN_NM","Subregion","Region","latitude_region","longitude_region"
"1","Afghanistan","South-central Asia","Asia",45.4506875,68.8319005
"2","Albania","Southern Europe","Europe",41.2745004,-1.2121322
"3","Algeria","Northern Africa","Africa",23.4162027,25.66283
"4","Andorra","Southern Europe","Europe",41.2745004,-1.2121322
"5","Argentina","South America","Americas",-8.783195,-55.491477
"6","Armenia","Western Asia","Asia",49.2854271,-123.0143723
"7","Australia","Australia and New Zealand","Oceania",-41.2714314,174.7809421
"8","Austria","Western Europe","Europe",46.2021848,1.2643875
"9","Bahamas","Caribbean","Americas",21.4691137,-78.6568942
"10","Bangladesh","South-central Asia","Asia",45.4506875,68.8319005
"11","Belarus","Eastern Europe","Europe",52.0055148,37.9587494
"12","Belgium","Western Europe","Europe",46.2021848,1.2643875
"13","Belize","Central America","Americas",12.7690126,-85.6023643
"14","Bhutan","South-central Asia","Asia",45.4506875,68.8319005
"15","Bolivia","South America","Americas",-8.783195,-55.491477
"16","Bonaire","South America","Americas",-8.783195,-55.491477
"17","Brazil","South America","Americas",-8.783195,-55.491477
"18","Bulgaria","Eastern Europe","Europe",52.0055148,37.9587494
"19","Cambodia","Asia","South-eastern Asia",34.047863,100.6196553
"20","Cameroon","Middle Africa","Africa",2.3184621,19.5687103
"21","Canada","Northern America","Americas",37.09024,-95.712891
"22","Cape Verde","Northern America","Americas",37.09024,-95.712891
"23","Cayman Islands","Caribbean","Americas",21.4691137,-78.6568942
"24","Central African Republic","Middle Africa","Africa",2.3184621,19.5687103
"25","Chile","South America","Americas",-8.783195,-55.491477
"26","China","Eastern Asia","Asia",38.7945952,106.5348379
"27","Cocos (Keeling) Islands","Eastern Asia","Asia",38.7945952,106.5348379
"28","Colombia","South America","Americas",-8.783195,-55.491477
"29","Cook Islands","Polynesia","Oceania",-16.8395019,-148.3716902
"30","Costa Rica","Central America","Americas",12.7690126,-85.6023643
"31","Cote D`Ivoire","Western Africa","Africa",13.531665,-2.4604145
"32","Croatia","Southern Europe","Europe",41.2745004,-1.2121322
"33","Cyprus","Western Asia","Asia",49.2854271,-123.0143723
"34","Denmark","Northern Europe","Europe",62.2786475,12.3401709
"35","Dominica","Caribbean","Americas",21.4691137,-78.6568942
"36","Dominican Republic","Caribbean","Americas",21.4691137,-78.6568942
"37","Ecuador","South America","Americas",-8.783195,-55.491477
"38","Egypt","Northern Africa","Africa",23.4162027,25.66283
"39","El Salvador","Central America","Americas",12.7690126,-85.6023643
"40","Eritrea","Eastern Africa","Africa",1.957709,37.2972044
"41","Estonia","Northern Europe","Europe",62.2786475,12.3401709
"42","Ethiopia","Eastern Africa","Africa",1.957709,37.2972044
"43","Fiji","Melanesia","Oceania",-8.1901857,152.8264684
"44","Finland","Northern Europe","Europe",62.2786475,12.3401709
"45","France","Western Europe","Europe",46.2021848,1.2643875
"46","French Guiana","South America","Americas",-8.783195,-55.491477
"47","French Southern Territories","Polynesia","Oceania",-16.8395019,-148.3716902
"48","Gabon","Middle Africa","Africa",2.3184621,19.5687103
"49","Gambia","Western Africa","Africa",13.531665,-2.4604145
"50","Georgia","Western Asia","Asia",49.2854271,-123.0143723
"51","Germany","Western Europe","Europe",46.2021848,1.2643875
"52","Ghana","Western Africa","Africa",13.531665,-2.4604145
"53","Gibraltar","Southern Europe","Europe",41.2745004,-1.2121322
